new_arcfile_name datetime_str obs_date datetime_jd obs_start_mjd RA DEC RA_rate DEC_rate Tmag airmass r r_rate delta delta_rate elong alpha airmass_correction start_parallactic_angle end_parallactic_angle ra_tracking_rate dec_tracking_rate integration_time start_airmass end_airmass start_alt_angle filename reportStartDate reportEndDate obsID startTime endTime dataProduct obFileName Airmass DIMM fulfilled publicComments
MUSE.2019-11-14T08:03:10.611 "2019-Nov-14 08:03:10.611" 2019-11-14T08:03:10.611 2458801.835539479 58801.33553948 161.68644 -0.59821 65.41318 -101.282 16.87 2.17 2.077572635284 -9.961438 2.22992682034218 -23.3101441 68.2452 26.2569 1.15 -117.935 -118.662 15.018197 14.971863 600.0 2.073 1.925 28.743 20191113 13/11/2019 14/11/2019 2637187 7:53:29 8:59:59 SCIENCE/OBJECT/IFU MUSE_WFM-NOAO_OBS318_0005.fits 2.073 0.8 yes "Comet not perfectly centered, but we chose not to abort the OB since otherwise a large fraction of the observations would have been taken in twilight."
MUSE.2019-11-14T08:19:45.880 "2019-Nov-14 08:19:45.880" 2019-11-14T08:19:45.880 2458801.847058796 58801.3470588 161.69147 -0.60599 65.35715 -101.292 16.87 1.948 2.077506371652 -9.9570514 2.2297718118359 -23.2886538 68.2495 26.2585 1.05 -119.051 -119.927 15.018197 14.971863 600.0 1.862 1.747 32.394 20191113 13/11/2019 14/11/2019 2637187 7:53:29 8:59:59 SCIENCE/OBJECT/IFU MUSE_WFM-NOAO_OBS318_0007.fits 1.862 0.8 yes "Comet not perfectly centered, but we chose not to abort the OB since otherwise a large fraction of the observations would have been taken in twilight."
MUSE.2019-11-15T08:02:02.188 "2019-Nov-15 08:02:02.188" 2019-11-15T08:02:02.188 2458802.834747546 58802.33474755 162.1254 -1.27555 65.28986 -102.165 16.852 2.128 2.071933671914 -9.5792264 2.21680892922479 -22.8438652 68.6019 26.3975 1.26 -117.669 -118.373 15.01814 14.971622 600.0 2.038 1.895 29.29 20191114 14/11/2019 15/11/2019 2637190 7:51:05 9:04:56 SCIENCE/OBJECT/IFU MUSE_WFM-NOAO_OBS319_0005.fits 2.038 0.87 yes "target well centred - DIMM 0.7"
MUSE.2019-11-15T08:18:33.659 "2019-Nov-15 08:18:33.659" 2019-11-15T08:18:33.659 2458802.846222905 58802.34622291 162.1304 -1.28336 65.23375 -102.174 16.852 1.916 2.071870194655 -9.574817 2.21665760305415 -22.8222843 68.6061 26.399 32.58 -118.744 -119.597 15.01814 14.971622 600.0 1.835 1.724 32.936 20191114 14/11/2019 15/11/2019 2653772 7:51:05 9:04:56 SCIENCE/OBJECT/IFU MUSE_WFM-NOAO_OBS319_0007.fits 1.835 0.68 yes "target well centred - DIMM 0.8"
MUSE.2019-11-15T08:53:20.124 "2019-Nov-15 08:53:20.123" 2019-11-15T08:53:20.123 2458802.870371794 58802.3703718 162.14091 -1.29981 65.12497 -102.193 16.852 1.605 2.071736707805 -9.5655364 2.21633964963231 -22.7713685 68.6149 26.4023 1.09 -121.8 -123.059 15.01814 14.971622 600.0 1.539 1.469 40.467 20191114 14/11/2019 15/11/2019 2686936 7:51:05 9:04:56 SCIENCE/OBJECT/IFU MUSE_WFM-NOAO_OBS319_0010.fits 1.539 0.57 yes "target well centred - DIMM 0.10"
MUSE.2019-11-26T07:17:24.151 "2019-Nov-26 07:17:24.150" 2019-11-26T07:17:24.150 2458813.803751736 58813.30375175 166.89371 -9.06294 63.21361 -110.568 16.681 2.159 2.024988131853 -5.1850233 2.09125924384652 -17.3938002 72.4141 27.6927 0.99 -113.092 -113.253 15.017564 14.969285 600.0 2.121 1.961 28.025 20191125 25/11/2019 26/11/2019 2637193 7:08:07 8:15:10 SCIENCE/OBJECT/IFU MUSE_WFM-NOAO_OBS330_0001.fits 2.121 0.43 yes "The comet was slightly off-centered, so it was manually placed at the center of the FoV."
MUSE.2019-11-26T07:34:33.387 "2019-Nov-26 07:34:33.386" 2019-11-26T07:34:33.386 2458813.81566419 58813.3156642 166.8988 -9.07172 63.14694 -110.57 16.681 1.925 2.024952473716 -5.1800859 2.0911396484117 -17.3731678 72.4183 27.6939 1.28 -113.367 -113.638 15.017564 14.969285 600.0 1.887 1.764 31.922 20191125 25/11/2019 26/11/2019 2637193 7:08:07 8:15:10 SCIENCE/OBJECT/IFU MUSE_WFM-NOAO_OBS330_0003.fits 1.887 0.74 yes "The comet was slightly off-centered, so it was manually placed at the center of the FoV."
MUSE.2019-11-26T07:46:28.549 "2019-Nov-26 07:46:28.548" 2019-11-26T07:46:28.548 2458813.823941528 58813.32394154 166.90233 -9.07782 63.10221 -110.571 16.681 1.794 2.024927716757 -5.176655 2.09105663457058 -17.3576873 72.4212 27.6946 1.33 -113.658 -114.015 15.017564 14.969285 600.0 1.757 1.653 34.623 20191125 25/11/2019 26/11/2019 2637193 7:08:07 8:15:10 SCIENCE/OBJECT/IFU MUSE_WFM-NOAO_OBS330_0004.fits 1.757 0.8 yes "The comet was slightly off-centered, so it was manually placed at the center of the FoV."
MUSE.2019-11-26T08:03:33.587 "2019-Nov-26 08:03:33.586" 2019-11-26T08:03:33.586 2458813.835805393 58813.3358054 166.90739 -9.08656 63.04064 -110.572 16.681 1.641 2.024892261342 -5.1717373 2.09093778517738 -17.3339312 72.4254 27.6957 1.01 -114.24 -114.74 15.017564 14.969285 600.0 1.605 1.523 38.484 20191125 25/11/2019 26/11/2019 2637193 7:08:07 8:15:10 SCIENCE/OBJECT/IFU MUSE_WFM-NOAO_OBS330_0006.fits 1.605 0.74 yes "The comet was slightly off-centered, so it was manually placed at the center of the FoV."
MUSE.2019-12-05T07:09:26.389 "2019-Dec-05 07:09:26.388" 2019-12-05T07:09:26.388 2458822.798222083 58822.29822209 170.72042 -15.8236 60.179 -114.868 16.584 1.824 2.007852247455 -1.39434 2.0153193860718 -12.5027556 75.3959 28.3634 1.12 -109.331 -109.17 15.016716 14.96809 600.0 1.82 1.707 33.244 20191204 4/12/2019 5/12/2019 2649027 7:02:46 8:06:35 SCIENCE/OBJECT/IFU MUSE_WFM-NOAO_OBS339_0003.fits 1.82 0.93 na na
